title,text,subject,date,label,title_length,text_length,title_processed,text_processed,combined_text,combined_processed
"As U.S. budget fight looms, Republicans flip their fiscal script","WASHINGTON (Reuters) - The head of a conservative Republican faction in the U.S. Congress, who voted this month for a huge expansion of the national debt to pay for tax cuts, called himself a fiscal conservative on Sunday and urged budget restraint in 2018.",politicsNews,"December 31, 2017",0,64,257,u budget fight loom republican flip fiscal script,washington reuters head conservative republican faction u congress voted month huge expansion national debt pay tax cut called fiscal conservative sunday urged budget restraint,"As U.S. budget fight looms, Republicans flip their fiscal script WASHINGTON (Reuters) - The head of a conservative Republican faction in the U.S. Congress, who voted this month for a huge expansion of the national debt to pay for tax cuts, called himself a fiscal conservative on Sunday and urged budget restraint in 2018.",u budget fight loom republican flip fiscal script washington reuters head conservative republican faction u congress voted month huge expansion national debt pay tax cut called fiscal conservative sunday urged budget restraint
U.S. military to accept transgender recruits on Monday: Pentagon,"WASHINGTON (Reuters) - Transgender people will be allowed for the first time to enlist in the U.S. military starting on Monday as ordered by federal courts, the Pentagon said on Friday, after President Donald Trump's administration decided not to appeal rulings that blocked his transgender ban.",politicsNews,"December 29, 2017",0,64,295,u military accept transgender recruit monday pentagon,washington reuters transgender people allowed first time enlist u military starting monday ordered federal court pentagon said friday president donald trump administration decided appeal ruling blocked transgender ban,"U.S. military to accept transgender recruits on Monday: Pentagon WASHINGTON (Reuters) - Transgender people will be allowed for the first time to enlist in the U.S. military starting on Monday as ordered by federal courts, the Pentagon said on Friday, after President Donald Trump's administration decided not to appeal rulings that blocked his transgender ban.",u military accept transgender recruit monday pentagon washington reuters transgender people allowed first time enlist u military starting monday ordered federal court pentagon said friday president donald trump administration decided appeal ruling blocked transgender ban
Senior U.S. Republican senator: 'Let Mr. Mueller do his job',"WASHINGTON (Reuters) - The special counsel investigation of links between Russia and President Trump's 2016 election campaign should continue without interference in 2018, despite calls from some Trump administration allies and Republican lawmakers to shut it down, a prominent Republican senator said on Sunday.",politicsNews,"December 31, 2017",0,60,312,senior u republican senator let mr mueller job,washington reuters special counsel investigation link russia president trump election campaign continue without interference despite call trump administration ally republican lawmaker shut prominent republican senator said sunday,"Senior U.S. Republican senator: 'Let Mr. Mueller do his job' WASHINGTON (Reuters) - The special counsel investigation of links between Russia and President Trump's 2016 election campaign should continue without interference in 2018, despite calls from some Trump administration allies and Republican lawmakers to shut it down, a prominent Republican senator said on Sunday.",senior u republican senator let mr mueller job washington reuters special counsel investigation link russia president trump election campaign continue without interference despite call trump administration ally republican lawmaker shut prominent republican senator said sunday
FBI Russia probe helped by Australian diplomat tip-off: NYT,"WASHINGTON (Reuters) - Trump campaign adviser George Papadopoulos told an Australian diplomat in May 2016 that Russia had political dirt on Democratic presidential candidate Hillary Clinton, the New York Times reported on Saturday.",politicsNews,"December 30, 2017",0,59,231,fbi russia probe helped australian diplomat tipoff nyt,washington reuters trump campaign adviser george papadopoulos told australian diplomat may russia political dirt democratic presidential candidate hillary clinton new york time reported saturday,"FBI Russia probe helped by Australian diplomat tip-off: NYT WASHINGTON (Reuters) - Trump campaign adviser George Papadopoulos told an Australian diplomat in May 2016 that Russia had political dirt on Democratic presidential candidate Hillary Clinton, the New York Times reported on Saturday.",fbi russia probe helped australian diplomat tipoff nyt washington reuters trump campaign adviser george papadopoulos told australian diplomat may russia political dirt democratic presidential candidate hillary clinton new york time reported saturday
New AI technology helps doctors diagnose diseases faster,Researchers at Stanford University have developed an AI system that can help doctors diagnose diseases more accurately and quickly than traditional methods. The system uses machine learning algorithms to analyze medical images and patient data.,technology,"January 15, 2023",0,56,244,new ai technology help doctor diagnose disease faster,researcher stanford university developed ai system help doctor diagnose disease accurately quickly traditional method system us machine learning algorithm analyze medical image patient data,New AI technology helps doctors diagnose diseases faster Researchers at Stanford University have developed an AI system that can help doctors diagnose diseases more accurately and quickly than traditional methods. The system uses machine learning algorithms to analyze medical images and patient data.,new ai technology help doctor diagnose disease faster researcher stanford university developed ai system help doctor diagnose disease accurately quickly traditional method system us machine learning algorithm analyze medical image patient data
Climate change affects global weather patterns,A new report from the World Meteorological Organization shows that climate change is causing significant changes in global weather patterns across all continents. The study analyzed data from over 100 weather stations worldwide.,environment,"January 16, 2023",0,46,228,climate change affect global weather pattern,new report world meteorological organization show climate change causing significant change global weather pattern across continent study analyzed data weather station worldwide,Climate change affects global weather patterns A new report from the World Meteorological Organization shows that climate change is causing significant changes in global weather patterns across all continents. The study analyzed data from over 100 weather stations worldwide.,climate change affect global weather pattern new report world meteorological organization show climate change causing significant change global weather pattern across continent study analyzed data weather station worldwide
Electric vehicle sales reach record high,"Electric vehicle sales have reached a record high this quarter, with major manufacturers reporting significant increases in demand for eco-friendly transportation. The trend is expected to continue growing.",business,"January 21, 2023",0,40,206,electric vehicle sale reach record high,electric vehicle sale reached record high quarter major manufacturer reporting significant increase demand ecofriendly transportation trend expected continue growing,"Electric vehicle sales reach record high Electric vehicle sales have reached a record high this quarter, with major manufacturers reporting significant increases in demand for eco-friendly transportation. The trend is expected to continue growing.",electric vehicle sale reach record high electric vehicle sale reached record high quarter major manufacturer reporting significant increase demand ecofriendly transportation trend expected continue growing
Breakthrough in quantum computing announced,Scientists have announced a major breakthrough in quantum computing that could revolutionize data processing and encryption methods used in modern technology. The advancement could impact cybersecurity.,technology,"January 24, 2023",0,43,202,breakthrough quantum computing announced,scientist announced major breakthrough quantum computing could revolutionize data processing encryption method used modern technology advancement could impact cybersecurity,Breakthrough in quantum computing announced Scientists have announced a major breakthrough in quantum computing that could revolutionize data processing and encryption methods used in modern technology. The advancement could impact cybersecurity.,breakthrough quantum computing announced scientist announced major breakthrough quantum computing could revolutionize data processing encryption method used modern technology advancement could impact cybersecurity
Scientists discover new species in Amazon rainforest,"A team of biologists has discovered three new species of frogs in the Amazon rainforest, highlighting the importance of conservation efforts in the region. The discovery was made during a month-long expedition.",science,"January 19, 2023",0,52,210,scientist discover new specie amazon rainforest,team biologist discovered three new specie frog amazon rainforest highlighting importance conservation effort region discovery made monthlong expedition,"Scientists discover new species in Amazon rainforest A team of biologists has discovered three new species of frogs in the Amazon rainforest, highlighting the importance of conservation efforts in the region. The discovery was made during a month-long expedition.",scientist discover new specie amazon rainforest team biologist discovered three new specie frog amazon rainforest highlighting importance conservation effort region discovery made monthlong expedition
New renewable energy project approved,The city council has approved a new solar energy project that will provide clean electricity to thousands of homes and reduce carbon emissions significantly. The project is expected to be completed by next year.,environment,"January 18, 2023",0,37,211,new renewable energy project approved,city council approved new solar energy project provide clean electricity thousand home reduce carbon emission significantly project expected completed next year,New renewable energy project approved The city council has approved a new solar energy project that will provide clean electricity to thousands of homes and reduce carbon emissions significantly. The project is expected to be completed by next year.,new renewable energy project approved city council approved new solar energy project provide clean electricity thousand home reduce carbon emission significantly project expected completed next year
