,administration,announced,campaign,cause,continue,data,day,decade,discover,discovered,disease,donald,donald trump,expected,fake,fbi,friday,government,image,investigation,machine,major,medical,method,nasa,new,people,president,prof,republican,research,researcher,reuters,revelation,russia,said,scientist,scientist discover,shocking,shocking revelation,significant,study,sunday,team,technology,thousand,time,trump,trump administration,university,washington,washington reuters,world,year
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4774314454233328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5987678123142464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4774314454233328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43080800454307444
5,0.0,0.0,0.0,0.0,0.0,0.439909613342033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057089399675704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4875180598751078,0.4875180598751078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4875180598751078,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45718426121456546,0.45718426121456546,0.0,0.276545586223608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34682800484883614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36894163153445375,0.0,0.0,0.0,0.0,0.0,0.4990792010381678
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24782871459478092,0.2746495426701444,0.2746495426701444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746495426701444,0.0,0.24782871459478092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746495426701444,0.0,0.2746495426701444,0.0,0.0,0.24782871459478092,0.2746495426701444,0.2746495426701444,0.2746495426701444,0.0,0.0,0.0,0.2746495426701444,0.0,0.0,0.0,0.0,0.0,0.2746495426701444,0.0,0.0,0.0,0.24782871459478092
11,0.0,0.0,0.0,0.0,0.0,0.0,0.35689306041867824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35689306041867824,0.0,0.0,0.0,0.6440815269631486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3220407634815743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47613382586306846,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.2425382501217826,0.0,0.0,0.0,0.0,0.7276147503653478,0.0,0.0,0.0,0.0,0.2004817220415553,0.2004817220415553,0.0,0.0,0.0,0.0,0.0,0.21885324178361665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21885324178361665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853582673188386,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4737093271097029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4737093271097029,0.0,0.0,0.0,0.0,0.0,0.5249756883983032,0.0,0.0,0.0,0.5249756883983032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7532545505856229,0.0,0.0,0.31131949158785654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3766272752928114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31131949158785654,0.31131949158785654,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39568355021592266,0.39568355021592266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4962441749546803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3570431783099099,0.39568355021592266,0.0,0.0,0.0,0.0,0.0,0.39568355021592266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31805608872665747,0.0,0.0,0.6361121774533149,0.0,0.0,0.0,0.0,0.0,0.28699640593553977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28699640593553977,0.0,0.5739928118710795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361104661383151,0.0,0.0,0.0,0.0,0.0,0.0,0.3724854319745615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724854319745615,0.23357519635575652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724854319745615,0.0,0.0,0.0,0.0,0.3724854319745615,0.3724854319745615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724854319745615,0.0
2,0.1973747386684338,0.0,0.21873527366899478,0.0,0.21873527366899478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973747386684338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1973747386684338,0.0,0.6562058210069843,0.0,0.0,0.18080622052138948,0.0,0.1973747386684338,0.21873527366899478,0.0,0.0,0.0,0.0,0.0,0.0,0.21873527366899478,0.0,0.0,0.0,0.0,0.2918164409838807,0.1973747386684338,0.0,0.18080622052138948,0.18080622052138948,0.0,0.0
15,0.0,0.0,0.0,0.32628173903942453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32628173903942453,0.0,0.0,0.2046021527860345,0.0,0.0,0.32628173903942453,0.0,0.32628173903942453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6525634780788491,0.0,0.0,0.0,0.32628173903942453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.26228417955222183,0.0,0.0,0.0,0.0,0.5813388499505924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26228417955222183,0.0,0.2906694249752962,0.0,0.2906694249752962,0.2906694249752962,0.0,0.18227066667631805,0.0,0.0,0.0,0.0,0.0,0.2906694249752962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26228417955222183,0.0,0.0,0.0,0.0,0.2906694249752962,0.0,0.0,0.0,0.0
1,0.2863157265073259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26228110413151173,0.26228110413151173,0.0,0.0,0.0,0.31730174396088007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863157265073259,0.2863157265073259,0.0,0.0,0.0,0.0,0.26228110413151173,0.0,0.0,0.31730174396088007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2863157265073259,0.21165737031687437,0.2863157265073259,0.0,0.26228110413151173,0.26228110413151173,0.0,0.0
7,0.0,0.6883190784318379,0.0,0.0,0.0,0.310550730906733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34415953921591896,0.0,0.34415953921591896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310550730906733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310550730906733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
